ts_start,ts_end,price
2023-02-22 23:00:00,2023-02-23 00:00:00,40.04
2023-02-22 15:00:00,2023-02-22 16:00:00,163.11
2023-02-22 16:00:00,2023-02-22 17:00:00,164.45
2023-02-22 17:00:00,2023-02-22 18:00:00,165.01
2023-02-22 18:00:00,2023-02-22 19:00:00,174.41
2023-02-22 19:00:00,2023-02-22 20:00:00,131.93
2023-02-22 20:00:00,2023-02-22 21:00:00,105.12
2023-02-22 21:00:00,2023-02-22 22:00:00,154.02
2023-02-22 22:00:00,2023-02-22 23:00:00,105.14
2023-02-22 05:00:00,2023-02-22 06:00:00,152.73
2023-02-22 06:00:00,2023-02-22 07:00:00,166.42
2023-02-22 07:00:00,2023-02-22 08:00:00,173.13
2023-02-22 08:00:00,2023-02-22 09:00:00,176.34
2023-02-22 09:00:00,2023-02-22 10:00:00,164.55
2023-02-22 10:00:00,2023-02-22 11:00:00,152.75
2023-02-22 11:00:00,2023-02-22 12:00:00,138.34
2023-02-22 12:00:00,2023-02-22 13:00:00,142.38
2023-02-22 13:00:00,2023-02-22 14:00:00,147.44
2023-02-22 14:00:00,2023-02-22 15:00:00,149.99
2023-02-22 00:00:00,2023-02-22 01:00:00,136.54
2023-02-22 01:00:00,2023-02-22 02:00:00,113.16
2023-02-22 02:00:00,2023-02-22 03:00:00,112.53
2023-02-22 03:00:00,2023-02-22 04:00:00,124.98
2023-02-22 04:00:00,2023-02-22 05:00:00,131.17
2023-02-21 19:00:00,2023-02-21 20:00:00,176.25
2023-02-21 20:00:00,2023-02-21 21:00:00,165.92
2023-02-21 21:00:00,2023-02-21 22:00:00,154.99
2023-02-21 22:00:00,2023-02-21 23:00:00,120.03
2023-02-21 23:00:00,2023-02-22 00:00:00,110.99
2023-02-21 11:00:00,2023-02-21 12:00:00,130.95
2023-02-21 12:00:00,2023-02-21 13:00:00,129.72
2023-02-21 13:00:00,2023-02-21 14:00:00,108.18
2023-02-21 14:00:00,2023-02-21 15:00:00,113.8
2023-02-21 15:00:00,2023-02-21 16:00:00,114.91
2023-02-21 16:00:00,2023-02-21 17:00:00,142.78
2023-02-21 17:00:00,2023-02-21 18:00:00,164.85
2023-02-21 18:00:00,2023-02-21 19:00:00,178.13
2023-02-21 04:00:00,2023-02-21 05:00:00,61.03
2023-02-21 05:00:00,2023-02-21 06:00:00,99.11
2023-02-21 06:00:00,2023-02-21 07:00:00,145.2
2023-02-21 07:00:00,2023-02-21 08:00:00,114.68
2023-02-21 08:00:00,2023-02-21 09:00:00,117.43
2023-02-21 09:00:00,2023-02-21 10:00:00,119.76
2023-02-21 10:00:00,2023-02-21 11:00:00,114.68
2023-02-21 00:00:00,2023-02-21 01:00:00,45.01
2023-02-21 01:00:00,2023-02-21 02:00:00,42.84
2023-02-21 02:00:00,2023-02-21 03:00:00,42.84
2023-02-21 03:00:00,2023-02-21 04:00:00,44.66
2023-02-20 17:00:00,2023-02-20 18:00:00,105.56
2023-02-20 18:00:00,2023-02-20 19:00:00,105.56
2023-02-20 19:00:00,2023-02-20 20:00:00,105.21
2023-02-20 20:00:00,2023-02-20 21:00:00,85.47
2023-02-20 21:00:00,2023-02-20 22:00:00,61.21
2023-02-20 22:00:00,2023-02-20 23:00:00,50.61
2023-02-20 23:00:00,2023-02-21 00:00:00,43
2023-02-20 07:00:00,2023-02-20 08:00:00,113.77
2023-02-20 08:00:00,2023-02-20 09:00:00,115.18
2023-02-20 09:00:00,2023-02-20 10:00:00,109.86
2023-02-20 10:00:00,2023-02-20 11:00:00,107.09
2023-02-20 11:00:00,2023-02-20 12:00:00,106.66
2023-02-20 12:00:00,2023-02-20 13:00:00,105.56
2023-02-20 13:00:00,2023-02-20 14:00:00,104.72
2023-02-20 14:00:00,2023-02-20 15:00:00,100.06
2023-02-20 15:00:00,2023-02-20 16:00:00,94.89
2023-02-20 16:00:00,2023-02-20 17:00:00,104.71
2023-02-20 02:00:00,2023-02-20 03:00:00,42.75
2023-02-20 03:00:00,2023-02-20 04:00:00,33.18
2023-02-20 04:00:00,2023-02-20 05:00:00,32.24
2023-02-20 05:00:00,2023-02-20 06:00:00,83.36
2023-02-20 06:00:00,2023-02-20 07:00:00,107.13
2023-02-20 00:00:00,2023-02-20 01:00:00,62.31
2023-02-20 01:00:00,2023-02-20 02:00:00,45.04
